Name,Score,Type,Episodes,Aired,Studios,Premiered
Shiguang Dailiren,8.72,ONA,11,"Apr 30, 2021 to Jul 9, 2021",LAN Studio,N/A
The First Slam Dunk,8.72,Movie,1,"Dec 3, 2022",Toei Animation,N/A
Kingdom 5th Season,8.72,TV,13,"Jan 14, 2024 to Mar 31, 2024",Studio Pierrot,Winter 2024
Mushishi Zoku Shou 2nd Season,8.72,TV,10,"Oct 19, 2014 to Dec 21, 2014",Artland,Fall 2014
86 Part 2,8.72,TV,12,"Oct 3, 2021 to Mar 19, 2022",A-1 Pictures,Fall 2021
Boku no Kokoro no Yabai Yatsu 2nd Season,8.72,TV,13,"Jan 7, 2024 to Mar 31, 2024",Shin-Ei Animation,Winter 2024
Hibike! Euphonium 3,8.72,TV,13,"Apr 7, 2024 to Jun 30, 2024",Kyoto Animation,Spring 2024
Code Geass: Hangyaku no Lelouch,8.71,TV,25,"Oct 6, 2006 to Jul 29, 2007",Sunrise,Fall 2006
Kimetsu no Yaiba: Yuukaku-hen,8.71,TV,11,"Dec 5, 2021 to Feb 13, 2022",ufotable,Winter 2022
Mob Psycho 100 III,8.71,TV,12,"Oct 6, 2022 to Dec 22, 2022",Bones,Fall 2022
Shouwa Genroku Rakugo Shinjuu: Sukeroku Futatabi-hen,8.70,TV,12,"Jan 7, 2017 to Mar 25, 2017",Studio Deen,Winter 2017
Bleach: Sennen Kessen-hen - Ketsubetsu-tan,8.70,TV,13,"Jul 8, 2023 to Sep 30, 2023",Studio Pierrot,Summer 2023
Chi. Chikyuu no Undou ni Tsuite,8.70,TV,25,"Oct 5, 2024 to Mar 15, 2025",Madhouse,Fall 2024
Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen,8.69,OVA,4,"Feb 20, 1999 to Sep 22, 1999",Studio Deen,N/A
Violet Evergarden,8.69,TV,13,"Jan 11, 2018 to Apr 5, 2018",Kyoto Animation,Winter 2018
Mo Dao Zu Shi: Wanjie Pian,8.68,ONA,12,"Aug 7, 2021 to Oct 16, 2021",B.CMAY PICTURES,N/A
Mushishi Zoku Shou,8.68,TV,10,"Apr 5, 2014 to Jun 21, 2014",Artland,Spring 2014
